glass_id,manufacturer_id,glass_name,manufacturer_code,glass_family,description,material_class,status
CDGM-H-ZF52,CDGM,H-ZF52,H-ZF52,Dense flint,CDGM dense flint.,oxide_glass,
SCHOTT-BK7G18,SCHOTT,BK7G18,BK7G18,Borosilicate crown,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-F2,SCHOTT,F2,F2,Optical glass,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-F2G12,SCHOTT,F2G12,F2G12,Optical glass,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-F2HT,SCHOTT,F2HT,F2HT,Optical glass,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-F2HTI,SCHOTT,F2HTi,F2HTi,Optical glass,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-F5,SCHOTT,F5,F5,Optical glass,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-FK5HTI,SCHOTT,FK5HTi,FK5HTi,Fluor crown,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-K10,SCHOTT,K10,K10,Optical glass,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-K5G20,SCHOTT,K5G20,K5G20,Optical glass,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-LAFN7,SCHOTT,LAFN7,LAFN7,Lanthanum flint,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-LAK9G15,SCHOTT,LAK9G15,LAK9G15,Lanthanum crown,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-LASF35,SCHOTT,LASF35,LASF35,Dense flint,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-LF5,SCHOTT,LF5,LF5,Optical glass,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-LF5G19,SCHOTT,LF5G19,LF5G19,Optical glass,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-LF5HTI,SCHOTT,LF5HTi,LF5HTi,Optical glass,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-LLF1,SCHOTT,LLF1,LLF1,Optical glass,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-LLF1HTI,SCHOTT,LLF1HTi,LLF1HTi,Optical glass,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-N-BAF10,SCHOTT,N-BAF10,N-BAF10,Barium flint,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-N-BAF4,SCHOTT,N-BAF4,N-BAF4,Barium flint,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-N-BAF51,SCHOTT,N-BAF51,N-BAF51,Barium flint,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-N-BAF52,SCHOTT,N-BAF52,N-BAF52,Barium flint,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-N-BAK1,SCHOTT,N-BAK1,N-BAK1,Barium crown,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-N-BAK2,SCHOTT,N-BAK2,N-BAK2,Barium crown,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
SCHOTT-N-BAK4,SCHOTT,N-BAK4,N-BAK4,Barium crown,Imported from SCHOTT-AGF-2025-06.,oxide_glass,standard
