glass_id,property,value,unit,reference_wavelength_nm,data_type,source_id,notes
CDGM-H-ZF52,refractive_index_nd,1.80518,,587.6,manufacturer,CDGM-CAT,Transcribed from CDGM catalog; verify against datasheet before detailed design.
CDGM-H-ZF52,abbe_number_vd,25.43,,587.6,manufacturer,CDGM-CAT,Transcribed from CDGM catalog; verify against datasheet before detailed design.
SCHOTT-BK7G18,refractive_index_nd,1.51975,,587.6,manufacturer,SCHOTT-AGF-2025-06,nd from .agf NM record.
SCHOTT-BK7G18,abbe_number_vd,63.58,,587.6,manufacturer,SCHOTT-AGF-2025-06,Vd from .agf NM record.
SCHOTT-BK7G18,glass_code,520636.252,,,manufacturer,SCHOTT-AGF-2025-06,glass code from .agf.
SCHOTT-BK7G18,cte,7.0,1e-6/K,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (CTE -30/+70).
SCHOTT-BK7G18,density,2.52,g/cm3,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (density).
SCHOTT-BK7G18,dPgF,0.0007,,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (dPgF).
SCHOTT-BK7G18,wl_min_um,0.38,um,,manufacturer,SCHOTT-AGF-2025-06,.agf LD lower wavelength limit.
SCHOTT-BK7G18,wl_max_um,2.5,um,,manufacturer,SCHOTT-AGF-2025-06,.agf LD upper wavelength limit.
SCHOTT-F2,refractive_index_nd,1.62004,,587.6,manufacturer,SCHOTT-AGF-2025-06,nd from .agf NM record.
SCHOTT-F2,abbe_number_vd,36.37,,587.6,manufacturer,SCHOTT-AGF-2025-06,Vd from .agf NM record.
SCHOTT-F2,glass_code,620364.360,,,manufacturer,SCHOTT-AGF-2025-06,glass code from .agf.
SCHOTT-F2,cte,8.2,1e-6/K,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (CTE -30/+70).
SCHOTT-F2,density,3.599,g/cm3,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (density).
SCHOTT-F2,dPgF,0.0002,,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (dPgF).
SCHOTT-F2,wl_min_um,0.32,um,,manufacturer,SCHOTT-AGF-2025-06,.agf LD lower wavelength limit.
SCHOTT-F2,wl_max_um,2.5,um,,manufacturer,SCHOTT-AGF-2025-06,.agf LD upper wavelength limit.
SCHOTT-F2G12,refractive_index_nd,1.62072,,587.6,manufacturer,SCHOTT-AGF-2025-06,nd from .agf NM record.
SCHOTT-F2G12,abbe_number_vd,36.56,,587.6,manufacturer,SCHOTT-AGF-2025-06,Vd from .agf NM record.
SCHOTT-F2G12,glass_code,621366.360,,,manufacturer,SCHOTT-AGF-2025-06,glass code from .agf.
SCHOTT-F2G12,cte,7.6,1e-6/K,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (CTE -30/+70).
SCHOTT-F2G12,density,3.61,g/cm3,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (density).
SCHOTT-F2G12,dPgF,0.0008,,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (dPgF).
SCHOTT-F2G12,wl_min_um,0.4,um,,manufacturer,SCHOTT-AGF-2025-06,.agf LD lower wavelength limit.
SCHOTT-F2G12,wl_max_um,2.5,um,,manufacturer,SCHOTT-AGF-2025-06,.agf LD upper wavelength limit.
SCHOTT-F2HT,refractive_index_nd,1.62004,,587.6,manufacturer,SCHOTT-AGF-2025-06,nd from .agf NM record.
SCHOTT-F2HT,abbe_number_vd,36.37,,587.6,manufacturer,SCHOTT-AGF-2025-06,Vd from .agf NM record.
SCHOTT-F2HT,glass_code,620364.360,,,manufacturer,SCHOTT-AGF-2025-06,glass code from .agf.
SCHOTT-F2HT,cte,8.2,1e-6/K,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (CTE -30/+70).
SCHOTT-F2HT,density,3.599,g/cm3,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (density).
SCHOTT-F2HT,dPgF,0.0002,,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (dPgF).
SCHOTT-F2HT,wl_min_um,0.32,um,,manufacturer,SCHOTT-AGF-2025-06,.agf LD lower wavelength limit.
SCHOTT-F2HT,wl_max_um,2.5,um,,manufacturer,SCHOTT-AGF-2025-06,.agf LD upper wavelength limit.
SCHOTT-F2HTI,refractive_index_nd,1.62004,,587.6,manufacturer,SCHOTT-AGF-2025-06,nd from .agf NM record.
SCHOTT-F2HTI,abbe_number_vd,36.37,,587.6,manufacturer,SCHOTT-AGF-2025-06,Vd from .agf NM record.
SCHOTT-F2HTI,glass_code,620364.360,,,manufacturer,SCHOTT-AGF-2025-06,glass code from .agf.
SCHOTT-F2HTI,cte,8.2,1e-6/K,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (CTE -30/+70).
SCHOTT-F2HTI,density,3.599,g/cm3,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (density).
SCHOTT-F2HTI,dPgF,0.0002,,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (dPgF).
SCHOTT-F2HTI,wl_min_um,0.334,um,,manufacturer,SCHOTT-AGF-2025-06,.agf LD lower wavelength limit.
SCHOTT-F2HTI,wl_max_um,2.5,um,,manufacturer,SCHOTT-AGF-2025-06,.agf LD upper wavelength limit.
SCHOTT-F5,refractive_index_nd,1.60342,,587.6,manufacturer,SCHOTT-AGF-2025-06,nd from .agf NM record.
SCHOTT-F5,abbe_number_vd,38.03,,587.6,manufacturer,SCHOTT-AGF-2025-06,Vd from .agf NM record.
SCHOTT-F5,glass_code,603380.347,,,manufacturer,SCHOTT-AGF-2025-06,glass code from .agf.
SCHOTT-F5,cte,8.0,1e-6/K,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (CTE -30/+70).
SCHOTT-F5,density,3.47,g/cm3,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (density).
SCHOTT-F5,dPgF,-0.0003,,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (dPgF).
SCHOTT-F5,wl_min_um,0.32,um,,manufacturer,SCHOTT-AGF-2025-06,.agf LD lower wavelength limit.
SCHOTT-F5,wl_max_um,2.5,um,,manufacturer,SCHOTT-AGF-2025-06,.agf LD upper wavelength limit.
SCHOTT-FK5HTI,refractive_index_nd,1.48748,,587.6,manufacturer,SCHOTT-AGF-2025-06,nd from .agf NM record.
SCHOTT-FK5HTI,abbe_number_vd,70.47,,587.6,manufacturer,SCHOTT-AGF-2025-06,Vd from .agf NM record.
SCHOTT-FK5HTI,glass_code,487705.245,,,manufacturer,SCHOTT-AGF-2025-06,glass code from .agf.
SCHOTT-FK5HTI,cte,9.2,1e-6/K,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (CTE -30/+70).
SCHOTT-FK5HTI,density,2.45,g/cm3,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (density).
SCHOTT-FK5HTI,dPgF,0.0036,,,manufacturer,SCHOTT-AGF-2025-06,.agf ED record (dPgF).
SCHOTT-FK5HTI,wl_min_um,0.25,um,,manufacturer,SCHOTT-AGF-2025-06,.agf LD lower wavelength limit.
SCHOTT-FK5HTI,wl_max_um,2.5,um,,manufacturer,SCHOTT-AGF-2025-06,.agf LD upper wavelength limit.
SCHOTT-K10,refractive_index_nd,1.50137,,587.6,manufacturer,SCHOTT-AGF-2025-06,nd from .agf NM record.
SCHOTT-K10,abbe_number_vd,56.41,,587.6,manufacturer,SCHOTT-AGF-2025-06,Vd from .agf NM record.
