glass_id,formula,wavelength_um,B1,B2,B3,C1_um2,C2_um2,C3_um2,source_id,notes
SCHOTT-BK7G18,Sellmeier-1 (Zemax CD record),,1.26538542,0.0144191073,1.00323028,0.00813104078,0.0543303226,102.821166,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-F2,Sellmeier-1 (Zemax CD record),,1.34533359,0.209073176,0.937357162,0.00997743871,0.0470450767,111.886764,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-F2G12,Sellmeier-1 (Zemax CD record),,1.34702224,0.210037763,19.5350768,0.00980850553,0.0471788018,2279.1547,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-F2HT,Sellmeier-1 (Zemax CD record),,1.34533359,0.209073176,0.937357162,0.00997743871,0.0470450767,111.886764,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-F2HTI,Sellmeier-1 (Zemax CD record),,1.34533359,0.209073176,0.937357162,0.00997743871,0.0470450767,111.886764,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-F5,Sellmeier-1 (Zemax CD record),,1.3104463,0.19603426,0.96612977,0.00958633048,0.0457627627,115.011883,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-FK5HTI,Sellmeier-1 (Zemax CD record),,0.90936218,0.279077054,0.891813298,0.0052014247,0.0158938446,95.9109448,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-K10,Sellmeier-1 (Zemax CD record),,1.15687082,0.0642625444,0.872376139,0.00809424251,0.0386051284,104.74773,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-K5G20,Sellmeier-1 (Zemax CD record),,1.14094396,0.14500119,37.4705786,0.00694945478,0.0310574444,4536.25624,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-LAFN7,Sellmeier-1 (Zemax CD record),,1.66842615,0.298512803,1.0774376,0.0103159999,0.0469216348,82.5078509,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-LAK9G15,Sellmeier-1 (Zemax CD record),,1.28773667,0.518244853,26.1756109,0.0055754192,0.0223679524,1892.2533,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-LASF35,Sellmeier-1 (Zemax CD record),,2.45505861,0.453006077,2.3851308,0.0135670404,0.054580302,167.904715,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-LF5,Sellmeier-1 (Zemax CD record),,1.28035628,0.163505973,0.893930112,0.00929854416,0.0449135769,110.493685,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-LF5G19,Sellmeier-1 (Zemax CD record),,1.34611327,0.142428018,0.900477176,0.0097174385,0.0501911619,111.959703,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-LF5HTI,Sellmeier-1 (Zemax CD record),,1.28552924,0.158357622,0.892175122,0.0093988626,0.0452566659,110.544829,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-LLF1,Sellmeier-1 (Zemax CD record),,1.21640125,0.13366454,0.883399468,0.00857807248,0.0420143003,107.59306,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-LLF1HTI,Sellmeier-1 (Zemax CD record),,1.22510445,0.125155671,0.892236751,0.00870432098,0.0427325235,108.049968,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-N-BAF10,Sellmeier-1 (Zemax CD record),,1.5851495,0.143559385,1.08521269,0.00926681282,0.0424489805,105.613573,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-N-BAF4,Sellmeier-1 (Zemax CD record),,1.42056328,0.102721269,1.14380976,0.00942015382,0.0531087291,110.278856,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-N-BAF51,Sellmeier-1 (Zemax CD record),,1.51503623,0.153621958,1.15427909,0.00942734715,0.04308265,124.889868,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-N-BAF52,Sellmeier-1 (Zemax CD record),,1.43903433,0.0967046052,1.09875818,0.00907800128,0.050821208,105.691856,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-N-BAK1,Sellmeier-1 (Zemax CD record),,1.12365662,0.309276848,0.881511957,0.00644742752,0.0222284402,107.297751,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-N-BAK2,Sellmeier-1 (Zemax CD record),,1.01662154,0.319903051,0.937232995,0.00592383763,0.0203828415,113.118417,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-N-BAK4,Sellmeier-1 (Zemax CD record),,1.28834642,0.132817724,0.945395373,0.00779980626,0.0315631177,105.965875,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-N-BAK4HT,Sellmeier-1 (Zemax CD record),,1.28834642,0.132817724,0.945395373,0.00779980626,0.0315631177,105.965875,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-N-BALF4,Sellmeier-1 (Zemax CD record),,1.31004128,0.142038259,0.964929351,0.0079659645,0.0330672072,109.19732,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-N-BALF5,Sellmeier-1 (Zemax CD record),,1.28385965,0.0719300942,1.05048927,0.00825815975,0.0441920027,107.097324,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-N-BASF2,Sellmeier-1 (Zemax CD record),,1.53652081,0.156971102,1.30196815,0.0108435729,0.0562278762,131.3397,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-N-BASF64,Sellmeier-1 (Zemax CD record),,1.65554268,0.17131977,1.33664448,0.0104485644,0.0499394756,118.961472,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
SCHOTT-N-BK10,Sellmeier-1 (Zemax CD record),,0.888308131,0.328964475,0.984610769,0.00516900822,0.0161190045,99.7575331,SCHOTT-AGF-2025-06,.agf CD coefficients; verify with catalog.
