source_id,manufacturer,source_name,source_url,source_document,publication_date,access_date,license,notes
SCHOTT-BK7-DS,SCHOTT,SCHOTT N-BK7 datasheet,https://www.schott.com/shop/advanced-optics/en/Optical-Glass/N-BK7/c/glass-N-BK7,N-BK7 datasheet (SCHOTT Advanced Optics),,2026-09-21, redistribution-prohibited; values transcribed for reference — see SCHOTT site for authoritative data,Anchor glass values per SCHOTT datasheet.
SCHOTT-CAT-2024,SCHOTT,SCHOTT optical glass catalog,https://www.schott.com/en-us/products/optical-glass-p1000267/downloads,SCHOTT optical glass pocket catalog / datasheets,,2026-09-21,redistribution-prohibited; use manufacturer source,nd/vd/density values for SCHOTT crown/flint glasses.
OHARA-CAT,OHARA,OHARA optical glass catalog,https://oharacorp.com/catalog/,OHARA glass catalog / datasheets,,2026-09-21,redistribution-prohibited; use manufacturer source,S-BSL7 and S-TIH53 nd/vd values per OHARA catalog.
HOYA-CAT,HOYA,HOYA optical glass catalog,https://www.hoya.co.jp/english/,HOYA glass catalog (FC5/FCD series),,2026-09-21,redistribution-prohibited; use manufacturer source,FC5 and FCD100 nd/vd per HOYA catalog listings.
CDGM-CAT,CDGM,CDGM optical glass catalog,http://www.cdgmgd.com/,CDGM glass catalog (H-K9L / H-ZF series),,2026-09-21,redistribution-prohibited; use manufacturer source,H-K9L and H-ZF52 nd/vd per CDGM catalog listings.
SUMITA-CAT,SUMITA,SUMITA optical glass catalog,https://www.sumita-optical.co.jp/en/product/,SUMITA glass catalog (K-PFK / K-VC series),,2026-09-21,redistribution-prohibited; use manufacturer source,K-PFK85 and K-VC78 nd/vd per SUMITA catalog listings.
RIINFO-PUBLIC-DOMAIN,VARIOUS,refractiveindex.info database (CC0),https://refractiveindex.info/,refractiveindex.info database record (CC0 1.0 waiver),,2026-09-21,CC0-1.0,Sellmeier dispersion coefficients mirrored from the CC0 refractiveindex.info database; original coefficients originate from SCHOTT/OHARA/HOYA/CDGM Zemax catalogs.
GLASSMATCH-CALC,VARIOUS,GlassMatch calculated value,,GlassMatch computed/calculated value (Fresnel estimate or Sellmeier evaluation),,2026-09-21,MIT (GlassMatch code),Marks values computed by GlassMatch — never manufacturer-reported.
SCHOTT-AGF-2025-06,SCHOTT,SCHOTT Zemax catalog (SCHOTT-AGF-2025-06),https://www.schott.com/en-us/products/optical-glass-p1000267/downloads,SCHOTT-AGF-2025-06,,2026-09-21,"redistribution-limited; .agf stays local, only normalized rows committed",SCHOTT June 2025 preferred/inquiry/AR catalog; parsed locally.
OHARA-AGF-2026-05-29,OHARA,OHARA Zemax catalog (OHARA-AGF-2026-05-29),https://www.ohara-gmbh.com/fileadmin/Dialog_Downloads/Zemax/OHARA_260529.AGF,OHARA-AGF-2026-05-29,,2026-09-21,"redistribution-limited; .agf stays local, only normalized rows committed",OHARA catalog 2026-05-29; UTF-16 read; Herzberger-style rows flagged non-Sellmeier.
