glass_id,wavelength_um,transmission,thickness_mm,data_type,source_id,notes
SCHOTT-BK7G18,0.38,0.08,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,0.39,0.28,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,0.4,0.51,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,0.405,0.6,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,0.42,0.78,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,0.436,0.873,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,0.46,0.927,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,0.5,0.957,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,0.546,0.973,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,0.58,0.979,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,0.62,0.984,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,0.66,0.988,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,0.7,0.993,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,1.06,0.998,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,1.53,0.979,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,1.97,0.841,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,2.325,0.54,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-BK7G18,2.5,0.32,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.32,0.0,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.334,0.211,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.35,0.78,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.365,0.921,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.37,0.94,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.38,0.963,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.39,0.977,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.4,0.985,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.405,0.987,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.42,0.991,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.436,0.993,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.46,0.994,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.5,0.997,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.546,0.998,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.58,0.998,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.62,0.998,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.66,0.997,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,0.7,0.998,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,1.06,0.998,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,1.53,0.989,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,1.97,0.876,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,2.325,0.685,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2,2.5,0.589,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2G12,0.4,0.03,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2G12,0.405,0.07,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2G12,0.42,0.3,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2G12,0.436,0.58,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2G12,0.46,0.81,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2G12,0.5,0.92,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2G12,0.546,0.953,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2G12,0.58,0.972,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2G12,0.62,0.979,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2G12,0.66,0.984,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
SCHOTT-F2G12,0.7,0.988,25.0,manufacturer,SCHOTT-AGF-2025-06,.agf IT record (thickness as listed).
