glass_id,wavelength_um,thickness_mm,n_values,values,spread,source_ids,data_types,status,reason,action
OHARA-L-LAH85,0.33,10.0,2,0; 0.04,0.04,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,0.34,10.0,2,0.05; 0.24,0.19,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,0.35,10.0,2,0.3; 0.49,0.19,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,0.36,10.0,2,0.58; 0.67,0.09,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,0.37,10.0,2,0.77; 0.78,0.01,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,0.38,10.0,2,0.85; 0.86,0.01,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,0.39,10.0,2,0.9; 0.915,0.015,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,0.4,10.0,2,0.924; 0.944,0.02,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,0.42,10.0,2,0.951; 0.971,0.02,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
OHARA-L-LAH85,0.44,10.0,2,0.965; 0.981,0.016,OHARA-AGF-2026-05-29,manufacturer,quarantined,duplicate samples disagree at the same wavelength; GlassMatch does not choose a winner,excluded from band statistics; both values preserved here for maintainer review against the source catalog
